Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
lacu:Tower Hamlets,E09000030,3.4,3.6,3.5,-3.1,8.7,3.9,1.9,-11.5,-11.5,4.3,1,0.5,7.3,3.3,6.4,-0.2,4.8
lacu:Wandsworth,E09000032,1.7,2.8,2.4,-10.4,4.9,4.1,5.7,-18.2,-18.2,5.4,4.1,5.1,-5.8,5.1,5.7,5,-3.8
lacu:Westminster,E09000033,1.2,1.4,1,-10.7,4.3,3.7,1.8,-18.4,-18.4,2.1,2.4,2.7,-0.8,2.2,5.3,-4,-0.3
lacu:Barking and Dagenham,E09000002,3.3,5.7,5.3,-9.5,9.8,7.2,2.1,-17.3,-17.3,29.3,-0.9,-1.4,4.6,7.2,6.4,8.3,2.9
lacu:Barnet,E09000003,1.8,2.4,2.2,-2.2,5.7,3.5,-0.6,-10.6,-10.6,5,1.1,0.9,3.2,3.2,6.1,0.3,2
lacu:Bexley,E09000004,1.6,2.8,2.5,-9.3,8.6,4.5,0.8,-17.1,-17.1,10,-1.4,-1.7,4.2,3.4,2.2,4.5,2.5
lacu:Brent,E09000005,2.2,2.8,2.6,-1.6,5.4,3.4,-0.3,-10.1,-10.1,6.5,-1,-1.1,0.8,2.5,6.9,-0.4,0.5
lacu:Bromley,E09000006,0.9,1.5,1.1,-8.8,5,3.6,-2,-16.7,-16.7,4,2.8,2.8,3.1,3.4,4.1,2.8,1.9
lacu:Croydon,E09000008,2.3,4.5,4.2,-4.2,6,6.3,1.4,-12.5,-12.5,17.2,-0.1,-0.2,1.3,7.2,9.3,6.4,0.7
lacu:Ealing,E09000009,0,0.8,0.5,-9.5,6.1,1.8,-0.6,-17.3,-17.3,4,1.7,1.8,0.7,3.1,0,6.5,-0.1
lacu:Enfield,E09000010,0.8,0.7,0.4,-7.8,6.8,2.6,-4.4,-15.8,-15.8,-0.2,1.1,1,3.5,0.7,7.4,-3.8,2
lacu:Greenwich,E09000011,2.8,3.5,3.3,-4.8,6.8,4.5,0.8,-13,-13,6.2,-0.5,-0.9,5.1,3.5,2.4,4.5,3.4
lacu:Harrow,E09000015,2.1,3.4,3.1,-4.9,8,5.1,-0.1,-13.1,-13.1,11.1,1.1,1.1,1.3,5.9,7.9,4.9,0.4
lacu:Havering,E09000016,3.2,5.2,4.8,-7.8,11,7.3,2.1,-15.8,-15.8,15.3,0.7,0.5,4.1,7.1,6,8.4,2.6
lacu:Hillingdon,E09000017,1.5,3.1,2.7,-9,8.2,5.1,-0.1,-16.8,-16.8,11.4,1.1,1,2.1,5.7,7.6,4.9,1.5
