Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
lacu:Barking and Dagenham,E09000002,16412,18472,18689,2003,3578,12045,1063,217,217,-2059,4282,3959,323,6342,2035,3788,519
lacu:Barnet,E09000003,28310,34364,34889,4850,4504,19228,6308,525,525,-6054,4939,4591,348,10993,5473,4977,544
lacu:Bexley,E09000004,20848,24954,25297,3168,2411,16834,2884,343,343,-4107,5039,4702,337,9146,3836,4792,518
lacu:Brent,E09000005,24069,28208,28617,3775,4699,16745,3398,409,409,-4139,4541,4231,310,8680,3513,4661,506
lacu:Bromley,E09000006,26318,32754,33224,4340,2899,21465,4520,470,470,-6436,5876,5498,378,12312,6055,5679,578
lacu:Croydon,E09000008,21637,25916,26284,3391,2971,16828,3093,367,367,-4279,5047,4710,336,9326,3740,5057,528
lacu:Ealing,E09000009,26073,32924,33373,4148,4197,21154,3875,449,449,-6851,4767,4432,335,11619,5460,5630,529
lacu:Enfield,E09000010,21562,23931,24316,3550,3304,14068,3394,384,384,-2369,5450,5117,332,7819,3091,4207,521
lacu:Greenwich,E09000011,21992,28795,29123,3035,3169,19893,3026,329,329,-6803,4343,4012,330,11145,5066,5542,538
lacu:Harrow,E09000015,26460,31497,31977,4435,4579,17655,5308,480,480,-5036,4889,4533,356,9925,4259,5119,547
lacu:Havering,E09000016,21817,26528,26881,3261,2852,17019,3748,353,353,-4711,5195,4843,352,9906,3844,5530,532
lacu:Hillingdon,E09000017,20808,25127,25495,3400,2690,16716,2690,368,368,-4319,4752,4400,352,9070,3640,4880,551
lacu:Hounslow,E09000018,23678,29999,30320,2973,3613,20016,3719,322,322,-6320,4181,3819,361,10501,5168,4769,564
lacu:Kingston upon Thames,E09000021,25453,33820,34309,4514,3224,21856,4715,489,489,-8367,4481,4121,360,12848,6411,5876,561
lacu:Merton,E09000024,29588,39858,40345,4499,4241,25757,5848,487,487,-10270,4706,4350,356,14976,7525,6890,562
lacu:Redbridge,E09000026,21941,26530,26917,3578,3747,15803,3789,387,387,-4589,4289,3968,321,8878,3579,4793,506
lacu:Richmond upon Thames,E09000027,38229,54546,55270,6678,4262,35206,9123,723,723,-16317,5451,5087,365,21769,13087,8131,550
lacu:Sutton,E09000029,22525,27344,27718,3450,2975,17619,3673,374,374,-4819,4790,4434,356,9609,4207,4857,545
lacu:Waltham Forest,E09000031,21761,26380,26763,3531,4480,16403,2350,382,382,-4619,4222,3901,322,8841,3263,5060,519
lacu:Bracknell Forest,E06000036,21523,28003,28399,3233,2227,20229,2709,396,396,-6480,4637,4218,419,11117,5006,5489,622
lacu:Brighton and Hove,E06000043,21820,25979,26448,3840,3523,15185,3901,470,470,-4159,4629,4285,343,8788,3253,4971,564
lacu:Isle of Wight,E06000046,17299,16695,17015,2616,1945,9829,2626,320,320,604,6675,6273,402,6071,2135,3314,623
lacu:Medway,E06000035,18304,21201,21518,2591,2310,14244,2373,317,317,-2897,5037,4654,383,7934,2829,4523,581
lacu:Milton Keynes,E06000042,20531,25251,25573,2628,1923,17743,3279,322,322,-4721,4869,4480,389,9590,3829,5183,578
lacu:Portsmouth,E06000044,15936,17891,18138,2019,2160,11878,2080,247,247,-1955,4698,4361,337,6652,2157,3951,545
lacu:Reading,E06000038,21401,26597,26979,3123,2357,18925,2575,382,382,-5197,4799,4382,417,9996,4259,5105,632
lacu:Slough,E06000039,17845,21283,21614,2705,2341,14913,1654,331,331,-3438,4067,3673,393,7504,2919,3986,599
lacu:Southampton,E06000045,16312,19322,19564,1973,2146,13140,2305,241,241,-3011,4290,3944,346,7301,2353,4392,556
lacu:West Berkshire,E06000037,24987,30682,31123,3606,2438,20248,4831,441,441,-5695,5746,5323,423,11441,5431,5404,606
lacu:Windsor and Maidenhead,E06000040,30622,40154,40791,5207,2790,26148,6647,637,637,-9533,5811,5389,422,15343,8016,6723,604
lacu:Wokingham,E06000041,26261,34413,34947,4370,2118,23416,5043,535,535,-8152,5451,5034,417,13603,6657,6344,601
lacu:Buckinghamshire,E06000060,26907,33370,33857,3976,2652,21547,5683,487,487,-6463,6295,5852,443,12758,6376,5739,643
lacu:East Sussex,E10000011,21062,22752,23147,3227,2560,13503,3857,395,395,-1690,6797,6391,406,8487,3577,4289,621
lacu:Hampshire,E10000014,22434,26394,26806,3365,2126,17510,3804,412,412,-3959,6170,5741,429,10130,4407,5085,638
lacu:Kent,E10000016,20768,23878,24256,3084,2274,15362,3536,378,378,-3110,5857,5456,400,8966,3808,4554,605
lacu:Oxfordshire,E10000025,23739,29066,29516,3677,2588,18950,4301,450,450,-5327,5469,5054,415,10795,4771,5403,622
lacu:Surrey,E10000030,28467,35771,36343,4675,2703,23098,5867,572,572,-7304,6283,5839,444,13587,7077,5864,647
lacu:West Sussex,E10000032,22398,25197,25640,3621,2387,15875,3756,443,443,-2799,6386,5968,418,9185,3851,4706,627
lacu:Bath and North East Somerset,E06000022,21383,24399,24851,3186,2410,14756,4498,452,452,-3017,5684,5213,471,8701,3453,4552,695
"lacu:Bristol, City of",E06000023,18877,22563,22910,2450,2502,14921,3037,347,347,-3686,4656,4247,409,8342,2953,4772,617
lacu:Cornwall,E06000052,17599,17576,17946,2606,2270,10035,3036,371,371,23,6227,5775,452,6204,1967,3570,667
lacu:Isles of Scilly,E06000053,21592,21653,22343,4856,3871,10365,3251,691,691,-61,6704,6245,459,6766,2130,3955,680
lacu:North Somerset,E06000024,21126,22691,23075,2707,1996,14544,3828,384,384,-1565,6840,6376,464,8405,3220,4530,655
lacu:Plymouth,E06000026,16021,17086,17322,1668,1548,11952,2154,236,236,-1065,5724,5328,396,6789,2035,4147,607
"lacu:Bournemouth, Christchurch and Poole",E06000058,19771,21804,22233,3027,2381,13635,3190,429,429,-2033,5938,5494,444,7971,2914,4398,659
lacu:South Gloucestershire,E06000025,20010,24025,24404,2676,1985,16179,3563,379,379,-4015,5124,4663,461,9139,3391,5070,678
lacu:Swindon,E06000030,18726,22997,23315,2245,1825,16687,2558,318,318,-4271,4716,4276,440,8987,3375,4972,640
lacu:Torbay,E06000027,17461,16870,17206,2371,2123,10077,2635,336,336,592,6544,6120,423,5952,1854,3459,639
lacu:Wiltshire,E06000054,20765,23683,24055,2618,2105,15433,3899,372,372,-2918,6204,5726,478,9121,3590,4847,684
lacu:Devon,E10000008,18989,19575,19973,2797,2256,11323,3596,398,398,-586,6470,6011,459,7056,2333,4046,677
lacu:Dorset,E06000059,20416,20701,21161,3243,2171,12151,3597,461,461,-285,7308,6830,478,7593,2780,4117,697
lacu:Gloucestershire,E10000013,20511,23043,23428,2719,2138,14840,3732,386,386,-2531,6096,5623,472,8627,3415,4530,683
lacu:Somerset,E10000027,18923,19881,20220,2384,2080,12488,3269,339,339,-959,6358,5888,470,7316,2604,4030,682
lacu:Isle of Anglesey,W06000001,16389,16652,16970,2215,1474,10822,2459,318,318,-263,6443,5938,506,6706,2081,3905,720
lacu:Gwynedd,W06000002,15006,15295,15592,2068,1581,9532,2411,297,297,-289,5653,5182,471,5942,1835,3421,686
lacu:Conwy,W06000003,16674,16349,16657,2146,1504,10460,2546,308,308,326,6680,6188,492,6354,2010,3643,702
lacu:Denbighshire,W06000004,16696,16880,17128,1724,1437,11169,2798,248,248,-184,6540,6057,482,6723,2119,3901,703
lacu:Flintshire,W06000005,17419,19238,19505,1861,1183,14140,2321,267,267,-1819,6122,5615,506,7940,2861,4368,712
lacu:Wrexham,W06000006,17040,18362,18592,1597,1179,12864,2952,229,229,-1322,5831,5330,501,7153,2476,3968,709
lacu:Powys,W06000023,16984,16545,16877,2304,2085,9234,3254,332,332,439,6554,6030,524,6115,1936,3436,743
lacu:Ceredigion,W06000008,15213,15046,15399,2452,1740,8666,2541,353,353,167,5861,5357,505,5695,1799,3169,727
lacu:Pembrokeshire,W06000009,16184,15839,16158,2211,1525,9731,2691,318,318,345,6483,5990,493,6138,1903,3535,701
lacu:Carmarthenshire,W06000010,15742,16173,16417,1696,1332,10926,2464,244,244,-431,6476,5986,490,6907,2064,4136,707
lacu:Swansea,W06000011,15169,15824,16054,1599,1204,11012,2239,229,229,-655,5950,5491,459,6605,2035,3897,673
lacu:Neath Port Talbot,W06000012,15719,15219,15401,1274,969,11343,1816,183,183,500,6953,6491,463,6453,2004,3774,675
lacu:Bridgend,W06000013,15430,16866,17122,1782,1161,12217,1962,256,256,-1436,5570,5110,460,7006,2247,4087,672
lacu:Vale of Glamorgan,W06000014,18876,20709,21083,2605,1534,13480,3464,374,374,-1833,6389,5930,459,8222,2867,4714,641
lacu:Cardiff,W06000015,16115,18620,18907,1999,1475,12833,2600,287,287,-2505,5127,4669,458,7632,2463,4492,676
lacu:Rhondda Cynon Taff,W06000016,14675,15485,15674,1319,1292,11341,1721,189,189,-810,5714,5269,445,6525,2021,3851,652
lacu:Merthyr Tydfil,W06000024,14687,15456,15605,1037,1159,11297,2113,149,149,-768,5721,5278,443,6490,1921,3917,652
lacu:Caerphilly,W06000018,15099,16069,16266,1376,1054,11754,2082,197,197,-970,5775,5324,451,6745,1982,4103,660
lacu:Blaenau Gwent,W06000019,13002,13413,13543,904,986,10675,977,130,130,-411,5653,5194,459,6064,1750,3643,671
lacu:Torfaen,W06000020,14990,16359,16564,1428,1036,12085,2016,205,205,-1369,5662,5209,453,7031,2133,4241,658
lacu:Monmouthshire,W06000021,20059,22202,22596,2747,1645,13884,4321,394,394,-2143,6480,5966,515,8624,3437,4479,707
lacu:Newport,W06000022,15923,17439,17692,1758,1197,13039,1697,252,252,-1516,5743,5252,491,7259,2476,4077,706
lacu:Aberdeen City,S12000033,20021,25254,25612,2489,1331,18509,3282,358,358,-5233,5031,4574,457,10263,4398,5175,690
lacu:Aberdeenshire,S12000034,20982,25767,26218,3137,1465,17754,3863,451,451,-4785,5078,4637,441,9863,4197,5026,640
lacu:Angus,S12000041,18627,20144,20471,2272,1232,13564,3403,327,327,-1517,6001,5611,390,7518,2565,4364,589
lacu:Argyll and Bute,S12000035,17555,17439,17739,2081,1837,11290,2531,300,300,115,6839,6414,425,6723,2383,3699,642
lacu:Clackmannanshire,S12000005,18579,18637,18858,1531,1088,14174,2064,220,220,-58,7900,7489,412,7959,2741,4591,627
lacu:Dumfries and Galloway,S12000006,17300,17656,17931,1910,1572,11268,3181,275,275,-356,6563,6136,427,6919,2026,4246,648
lacu:Dundee City,S12000042,14898,15600,15778,1237,1322,11702,1517,178,178,-702,5697,5306,391,6399,1990,3786,623
lacu:East Ayrshire,S12000008,16309,17673,17880,1440,1236,12763,2441,207,207,-1364,5689,5294,396,7054,2258,4183,613
lacu:East Dunbartonshire,S12000045,22689,26080,26589,3538,1515,16874,4662,509,509,-3391,6503,6086,417,9894,3895,5379,620
lacu:East Lothian,S12000010,20825,23912,24297,2679,1741,15971,3906,385,385,-3087,6098,5664,433,9184,3691,4854,639
lacu:East Renfrewshire,S12000011,22871,26735,27287,3836,1385,16491,5574,552,552,-3864,5777,5379,397,9641,3905,5140,596
lacu:City of Edinburgh,S12000036,21707,26048,26471,2941,2374,17073,4081,423,423,-4341,5331,4937,394,9672,3980,5075,617
lacu:Na h-Eileanan Siar,S12000013,16462,17373,17615,1683,1573,11719,2640,242,242,-911,5778,5338,440,6689,2024,4007,659
lacu:Falkirk,S12000014,17060,19570,19795,1565,1226,14751,2253,225,225,-2509,5449,5033,416,7958,2752,4578,628
lacu:Fife,S12000047,16986,18707,18988,1956,1163,13465,2403,281,281,-1720,5833,5421,413,7554,2577,4351,626
lacu:Glasgow City,S12000049,15699,17774,17991,1508,1451,12821,2212,217,217,-2075,5014,4671,342,7089,2301,4227,562
lacu:Highland,S12000017,18423,20134,20526,2720,1618,13309,2879,392,392,-1711,5865,5432,433,7576,2534,4389,653
lacu:Inverclyde,S12000018,16536,16982,17182,1385,912,13149,1735,199,199,-447,6633,6219,414,7080,2553,3901,626
lacu:Midlothian,S12000019,18422,21411,21785,2603,1435,15474,2273,374,374,-2988,5492,5064,428,8481,3115,4727,638
lacu:Moray,S12000020,16891,19172,19478,2125,1367,13365,2621,306,306,-2280,5274,4839,435,7554,2573,4336,645
