Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
ladu:Lancaster,E07000121,15867,17191,17509,2077,1445,11414,2573,318,318,-1323,5570,5176,394,6894,2231,4034,629
ladu:Pendle,E07000122,15560,16431,16650,1436,1415,10904,2896,220,220,-871,5427,5053,374,6298,2012,3715,571
ladu:Preston,E07000123,15370,16828,17100,1778,1289,12298,1734,272,272,-1458,5428,5029,399,6886,2339,3914,632
ladu:Ribble Valley,E07000124,23887,26964,27450,3168,1798,15789,6695,485,485,-3077,6454,6041,413,9531,3774,5149,608
ladu:Rossendale,E07000125,17021,19814,20090,1808,1567,13337,3377,277,277,-2793,5148,4767,381,7941,2666,4691,585
ladu:South Ribble,E07000126,17220,19816,20157,2226,1284,14347,2300,341,341,-2596,5728,5321,407,8324,2895,4817,613
ladu:West Lancashire,E07000127,18543,19647,20008,2357,1461,12644,3546,361,361,-1103,6133,5715,418,7236,2607,4003,626
ladu:Wyre,E07000128,17742,17770,18125,2313,1478,11054,3279,355,355,-28,6710,6311,399,6737,2318,3825,595
ladu:Knowsley,E08000011,15558,16165,16387,1446,1224,12033,1684,221,221,-607,5805,5434,371,6412,2125,3706,582
ladu:Liverpool,E08000012,14868,16169,16395,1476,1366,11671,1882,226,226,-1301,5228,4910,318,6529,2090,3907,533
ladu:Sefton,E08000014,17955,18840,19185,2255,1505,12867,2557,345,345,-885,6555,6174,381,7440,2550,4295,594
ladu:St. Helens,E08000013,15862,16927,17184,1679,1159,12468,1878,257,257,-1065,5782,5405,377,6847,2387,3883,577
ladu:Wirral,E08000015,17492,18172,18499,2135,1370,12666,2328,327,327,-681,6451,6066,385,7132,2594,3945,593
ladu:East Riding of Yorkshire,E06000011,18441,19791,20178,2345,1557,13150,3125,386,386,-1351,6311,5856,456,7662,2862,4126,673
"ladu:Kingston upon Hull, City of",E06000010,13751,14997,15189,1175,1138,11188,1688,192,192,-1246,4855,4494,361,6101,1703,3834,564
ladu:North East Lincolnshire,E06000012,15730,16454,16728,1663,1173,11578,2313,273,273,-724,5683,5270,413,6407,2133,3656,619
ladu:North Lincolnshire,E06000013,15513,17141,17406,1614,1153,12519,2121,265,265,-1628,5431,5014,417,7059,2370,4066,623
ladu:York,E06000014,18278,21272,21707,2656,1732,14259,3060,435,435,-2994,5425,5013,412,8419,3112,4674,633
ladu:Craven,E07000163,19648,21053,21529,2891,2155,13226,3257,476,476,-1405,6582,6105,477,7987,3162,4143,683
ladu:Hambleton,E07000164,21078,22690,23157,2832,2082,14109,4133,466,466,-1612,7007,6532,475,8619,3411,4523,684
ladu:Harrogate,E07000165,24805,28657,29227,3463,2314,16537,6912,570,570,-3852,6281,5814,467,10133,4276,5173,684
ladu:Richmondshire,E07000166,17874,19382,19759,2294,1808,12417,3241,378,378,-1507,5910,5440,470,7417,2747,3965,706
ladu:Ryedale,E07000167,20387,20658,21139,2924,2295,12220,3700,481,481,-271,7065,6587,478,7336,2945,3706,685
ladu:Scarborough,E07000168,17517,16295,16692,2407,1824,9957,2504,396,396,1222,6995,6520,475,5773,2072,3023,679
ladu:Selby,E07000169,18520,22454,22841,2357,1209,16046,3229,388,388,-3933,5622,5159,463,9556,3602,5259,695
ladu:Barnsley,E08000016,15469,16564,16798,1432,1431,12021,1914,235,235,-1094,5686,5276,411,6780,2179,3983,619
ladu:Doncaster,E08000017,15941,17063,17308,1498,1324,11864,2622,246,246,-1121,5496,5088,408,6617,2099,3903,615
ladu:Rotherham,E08000018,15884,16857,17099,1477,1412,11949,2261,242,242,-973,5795,5387,407,6767,2200,3958,610
ladu:Sheffield,E08000019,14924,16562,16816,1554,1491,11611,2161,255,255,-1638,4986,4614,372,6624,2170,3872,582
ladu:Bradford,E08000032,14487,15287,15521,1432,1339,10495,2256,235,235,-800,5208,4840,367,6007,1940,3515,552
ladu:Calderdale,E08000033,16905,18826,19099,1663,1512,12834,3090,272,272,-1921,5596,5192,404,7516,2590,4324,603
ladu:Kirklees,E08000034,15571,17314,17589,1676,1409,11956,2548,275,275,-1743,5253,4853,400,6997,2365,4031,601
ladu:Leeds,E08000035,17168,19949,20257,1881,1646,13943,2787,308,308,-2780,5065,4670,395,7845,2703,4542,600
ladu:Wakefield,E08000036,16349,17780,18045,1621,1265,12777,2383,266,266,-1431,5556,5144,412,6987,2217,4152,618
ladu:Derby,E06000015,15362,17543,17784,1452,1203,12941,2188,240,240,-2181,5080,4686,394,7261,2372,4298,591
ladu:Leicester,E06000016,13130,14726,14939,1292,1179,10451,2018,214,214,-1596,4123,3773,350,5719,1664,3510,545
ladu:Nottingham,E06000018,12804,14257,14444,1131,1315,10215,1783,187,187,-1453,4451,4118,333,5904,1892,3472,540
ladu:Rutland,E06000017,22241,23925,24365,2657,2108,14883,4717,440,440,-1684,7329,6860,469,9014,3924,4428,661
ladu:Amber Valley,E07000032,17562,20271,20577,1847,1447,14815,2468,306,306,-2709,5959,5494,464,8668,3319,4673,676
ladu:Bolsover,E07000033,14391,15563,15784,1333,1271,11670,1510,221,221,-1172,5319,4894,424,6491,2106,3738,647
ladu:Chesterfield,E07000034,15132,15829,16087,1560,1270,11643,1614,258,258,-697,5880,5452,428,6577,2144,3783,649
ladu:Derbyshire Dales,E07000035,23878,26181,26673,2970,2112,14795,6797,492,492,-2303,6954,6481,473,9257,4006,4587,665
ladu:Erewash,E07000036,16278,18989,19260,1633,1426,14194,2006,271,271,-2711,5368,4909,458,8079,2901,4503,675
ladu:High Peak,E07000037,18923,21576,21925,2104,1677,14768,3376,349,349,-2653,5949,5485,464,8601,3287,4632,682
ladu:North East Derbyshire,E07000038,17362,18641,18942,1815,1419,12100,3607,301,301,-1279,5821,5390,431,7100,2489,3976,635
ladu:South Derbyshire,E07000039,18144,23161,23518,2152,1445,17091,2830,357,357,-5017,5132,4678,454,10150,3996,5476,678
ladu:Blaby,E07000129,16987,19898,20287,2345,1750,14330,1862,389,389,-2911,4991,4534,456,7902,2885,4352,664
ladu:Charnwood,E07000130,16830,19006,19354,2102,1472,12921,2860,348,348,-2176,5066,4600,466,7243,2637,3910,696
ladu:Harborough,E07000131,23868,27513,27991,2887,1964,16375,6764,479,479,-3645,5926,5467,460,9571,3983,4926,662
ladu:Hinckley and Bosworth,E07000132,18325,21149,21518,2227,1556,14635,3100,369,369,-2824,5327,4865,462,8151,3013,4471,668
ladu:Melton,E07000133,19885,22024,22389,2201,1908,14353,3927,365,365,-2140,6001,5538,463,8141,3220,4254,666
ladu:North West Leicestershire,E07000134,18140,20804,21156,2123,1535,14708,2790,352,352,-2664,5561,5101,460,8225,3098,4454,673
ladu:Oadby and Wigston,E07000135,16952,18203,18537,2016,1452,12349,2720,334,334,-1251,5549,5088,462,6801,2400,3733,668
ladu:Boston,E07000136,16317,17436,17685,1492,1478,12645,2070,249,249,-1120,5368,4930,438,6487,1991,3837,659
ladu:East Lindsey,E07000137,16797,15281,15605,1944,1586,9160,2914,324,324,1516,6856,6400,456,5340,1848,2849,643
ladu:Lincoln,E07000138,14562,15726,15965,1434,1566,11604,1361,239,239,-1164,5235,4787,448,6399,1982,3705,712
ladu:North Kesteven,E07000139,17891,19745,20087,2052,1645,13683,2706,342,342,-1854,6136,5690,446,7989,2794,4538,657
ladu:South Holland,E07000140,16923,18345,18660,1891,1620,12552,2597,315,315,-1421,5585,5139,446,7006,2287,4064,655
ladu:South Kesteven,E07000141,19115,21924,22290,2194,1406,14961,3729,366,366,-2809,6030,5589,442,8839,3298,4886,655
ladu:West Lindsey,E07000142,18066,18747,19066,1916,1425,12393,3333,319,319,-681,6667,6220,447,7348,2618,4075,656
ladu:Ashfield,E07000170,14715,15938,16179,1457,1280,11910,1533,242,242,-1222,5354,4927,426,6576,2173,3763,640
ladu:Bassetlaw,E07000171,17006,18125,18385,1570,1322,12625,2868,260,260,-1119,5980,5548,432,7099,2535,3927,637
ladu:Broxtowe,E07000172,16961,19381,19683,1826,1437,14191,2230,302,302,-2420,5700,5252,448,8120,3003,4453,663
ladu:Gedling,E07000173,17787,19488,19809,1940,1621,13636,2612,321,321,-1701,6079,5634,445,7780,2930,4192,657
ladu:Mansfield,E07000174,15453,15928,16154,1362,1381,11939,1471,226,226,-474,6004,5577,427,6478,2162,3673,643
ladu:Newark and Sherwood,E07000175,18485,20352,20655,1829,1554,13380,3892,303,303,-1868,5882,5451,431,7750,2963,4152,634
ladu:Rushcliffe,E07000176,21818,26847,27336,2956,1781,18000,4600,489,489,-5029,6056,5613,443,11085,4752,5683,650
ladu:North Northamptonshire,E06000061,18492,21440,21775,2019,1723,15070,2963,334,334,-2948,5322,4867,456,8270,3036,4579,655
ladu:West Northamptonshire,E06000062,20461,24435,24845,2474,2185,16672,3514,410,410,-3974,5283,4808,475,9258,3680,4902,675
"ladu:Herefordshire, County of",E06000019,18775,19725,20134,2555,2101,11793,3685,409,409,-950,6118,5658,460,7067,2554,3838,676
ladu:Shropshire,E06000051,18922,20480,20877,2478,1898,12934,3566,397,397,-1558,6184,5730,454,7742,3039,4032,671
ladu:Stoke-on-Trent,E06000021,14179,15330,15514,1153,1205,11388,1767,184,184,-1151,5015,4641,374,6166,1908,3684,574
ladu:Telford and Wrekin,E06000020,16208,18166,18431,1657,1364,12987,2423,264,264,-1959,5358,4949,409,7316,2417,4291,608
ladu:Cannock Chase,E07000192,15886,17598,17880,1770,1716,12823,1571,282,282,-1712,5459,5027,433,7171,2364,4149,658
ladu:East Staffordshire,E07000193,17571,20448,20769,2014,1428,14773,2554,321,321,-2876,5467,5042,425,8344,2985,4716,643
ladu:Lichfield,E07000194,21464,24646,25061,2602,1628,15596,5234,415,415,-3182,6234,5796,438,9416,3674,5102,640
ladu:Newcastle-under-Lyme,E07000195,15893,17840,18074,1470,1313,12753,2538,234,234,-1946,5381,4941,440,7328,2583,4079,665
ladu:South Staffordshire,E07000196,19493,21703,22082,2378,1594,13731,4378,379,379,-2210,5945,5501,445,8156,3012,4493,651
ladu:Stafford,E07000197,18984,21995,22362,2303,1500,14925,3635,367,367,-3011,5759,5322,437,8771,3217,4905,649
ladu:Staffordshire Moorlands,E07000198,18132,19023,19346,2023,1604,12442,3277,322,322,-891,6322,5880,442,7213,2569,4001,643
ladu:Tamworth,E07000199,15734,18697,18993,1861,1317,14429,1386,297,297,-2963,5090,4665,426,8053,2656,4750,648
ladu:North Warwickshire,E07000218,18234,20845,21194,2189,1677,14487,2841,349,349,-2611,5279,4809,470,7891,3017,4195,679
ladu:Nuneaton and Bedworth,E07000219,16396,17918,18208,1824,1256,13714,1415,291,291,-1522,5630,5171,459,7152,2535,3944,673
ladu:Rugby,E07000220,19808,23806,24195,2444,1525,16871,3355,389,389,-3998,5227,4770,457,9225,3645,4912,668
ladu:Stratford-on-Avon,E07000221,27515,31443,32036,3722,2321,18419,7575,593,593,-3928,6919,6446,474,10848,5038,5146,664
ladu:Warwick,E07000222,23954,29545,30090,3423,1854,19505,5310,545,545,-5592,5591,5121,470,11183,4843,5646,694
ladu:Birmingham,E08000025,14434,15640,15868,1430,1390,11032,2016,228,228,-1206,4902,4555,347,6109,2009,3563,536
ladu:Coventry,E08000026,14672,16911,17168,1613,1250,12168,2137,257,257,-2239,4569,4205,364,6809,2146,4095,568
ladu:Dudley,E08000027,15543,17166,17430,1662,1373,12172,2223,265,265,-1623,5307,4902,405,6929,2244,4076,610
ladu:Sandwell,E08000028,13599,14419,14614,1222,1153,10711,1527,195,195,-820,4737,4379,358,5557,1709,3299,549
ladu:Solihull,E08000029,21748,25286,25751,2923,1597,17740,3490,465,465,-3537,6473,6024,449,10011,4467,4890,653
ladu:Walsall,E08000030,14644,15678,15901,1402,1318,11078,2102,223,223,-1033,5290,4913,377,6324,1977,3775,572
ladu:Wolverhampton,E08000031,14426,15510,15720,1321,1180,11317,1902,210,210,-1084,5107,4736,370,6190,1988,3634,568
ladu:Bromsgrove,E07000234,22795,26720,27208,3067,1782,16923,5436,489,489,-3924,6186,5722,464,10110,4139,5298,674
ladu:Malvern Hills,E07000235,21755,22642,23134,3084,2095,13416,4538,491,491,-887,7156,6682,474,8043,3352,4029,662
ladu:Redditch,E07000236,17850,20331,20647,1984,2542,14178,1944,316,316,-2482,5144,4692,452,7625,2675,4270,681
ladu:Worcester,E07000237,16735,19465,19803,2125,1637,14402,1639,339,339,-2729,5343,4883,460,8073,2835,4538,700
ladu:Wychavon,E07000238,21594,24023,24507,3040,1990,15112,4365,484,484,-2428,6359,5891,468,8787,3554,4565,669
ladu:Wyre Forest,E07000239,17534,18083,18418,2104,1643,12089,2582,335,335,-548,6271,5805,466,6819,2532,3620,667
ladu:Bedford,E06000055,20528,24288,24662,2503,2068,16657,3434,374,374,-3760,5611,5175,436,9370,3589,5147,634
ladu:Central Bedfordshire,E06000056,20919,25797,26217,2815,2292,17579,3532,420,420,-4878,5243,4784,459,10120,4162,5297,662
ladu:Luton,E06000032,16199,18581,18869,1933,2233,12598,2106,288,288,-2382,4410,4043,368,6793,2213,4029,551
ladu:Peterborough,E06000031,17066,19501,19726,1511,1628,14161,2425,226,226,-2435,4891,4488,402,7326,2715,4019,591
ladu:Southend-on-Sea,E06000033,19485,22796,23198,2697,2231,15094,3176,402,402,-3311,5541,5134,407,8852,3425,4815,611
ladu:Thurrock,E06000034,18235,21755,22097,2291,2468,15145,2192,342,342,-3520,4364,3946,418,7884,2980,4297,607
ladu:Cambridge,E07000008,23590,31171,31721,3682,2710,21558,3770,551,551,-7580,4883,4425,458,12463,5567,6189,707
ladu:East Cambridgeshire,E07000009,20559,24660,25043,2563,2253,16222,4005,383,383,-4101,5035,4593,442,9136,3808,4690,637
ladu:Fenland,E07000010,16990,17398,17664,1781,1868,12249,1766,266,266,-408,5986,5534,452,6394,2350,3401,643
ladu:Huntingdonshire,E07000011,19697,23814,24187,2494,1840,16872,2981,373,373,-4117,5434,4985,449,9551,3980,4919,653
ladu:South Cambridgeshire,E07000012,25384,32298,32815,3456,2339,21022,5998,517,517,-6914,5626,5184,442,12540,5742,6159,639
ladu:Basildon,E07000066,19178,23605,23964,2406,2236,16731,2590,359,359,-4427,5213,4785,428,9640,3870,5124,646
ladu:Braintree,E07000067,19801,24025,24393,2466,2314,16095,3518,368,368,-4224,5224,4798,426,9448,3789,5017,642
ladu:Brentwood,E07000068,28592,36490,37109,4147,2546,23561,6856,619,619,-7899,6377,5907,470,14276,7219,6379,678
ladu:Castle Point,E07000069,20033,22191,22651,3084,2374,14265,2928,460,460,-2158,6115,5667,448,8273,3286,4348,639
ladu:Chelmsford,E07000070,22000,27024,27500,3190,2248,18774,3288,476,476,-5024,5705,5238,467,10729,4907,5140,681
ladu:Colchester,E07000071,18663,22247,22612,2448,2193,15065,2907,366,366,-3584,5176,4748,428,8759,3439,4659,661
ladu:Epping Forest,E07000072,28298,33906,34530,4183,3421,19165,7762,624,624,-5608,5880,5404,476,11488,5457,5355,676
ladu:Harlow,E07000073,16898,18996,19322,2185,2188,13862,1087,326,326,-2099,5238,4780,457,7336,2714,3955,667
ladu:Maldon,E07000074,21913,24567,25053,3257,2412,15736,3647,486,486,-2653,6589,6108,481,9243,4276,4291,676
ladu:Rochford,E07000075,21023,25174,25657,3242,2127,16230,4058,484,484,-4150,5458,5011,447,9608,4024,4937,647
ladu:Tendring,E07000076,18214,16786,17164,2535,1982,10095,2552,378,378,1428,7258,6818,440,5830,2192,3025,613
ladu:Uttlesford,E07000077,25347,31564,32112,3669,2773,19619,6051,548,548,-6217,5697,5226,471,11915,5815,5433,666
ladu:Broxbourne,E07000095,21335,24459,24931,3165,2572,16170,3025,472,472,-3124,5520,5057,463,8644,3682,4304,659
ladu:Dacorum,E07000096,24462,30520,31021,3361,2568,20243,4849,501,501,-6058,5428,4964,463,11485,5539,5282,664
ladu:East Hertfordshire,E07000242,25615,33161,33706,3652,2583,22403,5068,545,545,-7546,5443,4976,467,12988,6459,5865,664
ladu:Hertsmere,E07000098,28781,34539,35134,3992,3408,20438,7296,595,595,-5758,5851,5392,458,11609,5774,5187,648
ladu:North Hertfordshire,E07000099,23939,29371,29821,3017,2475,19778,4552,450,450,-5431,5633,5167,466,11064,5194,5212,659
ladu:St Albans,E07000240,30176,40896,41625,4893,2728,27743,6261,730,730,-10720,5995,5542,453,16715,8942,7129,644
ladu:Stevenage,E07000243,18207,21268,21590,2154,2082,15775,1579,321,321,-3062,5026,4565,461,8087,3197,4221,670
ladu:Three Rivers,E07000102,28597,35562,36179,4136,2881,22085,7077,617,617,-6965,5871,5408,463,12836,6492,5689,656
ladu:Watford,E07000103,21977,27381,27865,3250,2869,18900,2846,485,485,-5403,4624,4172,452,10028,4359,5002,666
ladu:Welwyn Hatfield,E07000241,21167,25854,26263,2740,2088,17717,3718,409,409,-4687,5146,4674,472,9834,4610,4535,688
ladu:Breckland,E07000143,16919,17349,17662,2087,1798,11331,2446,313,313,-431,6000,5550,450,6431,2206,3563,662
ladu:Broadland,E07000144,19894,21999,22377,2530,1997,13358,4491,378,378,-2105,6120,5712,408,8225,3036,4590,599
ladu:Great Yarmouth,E07000145,14941,15264,15515,1681,1392,10566,1876,251,251,-323,5834,5433,401,6157,2094,3467,596
ladu:King's Lynn and West Norfolk,E07000146,17328,17990,18337,2314,1855,11257,2911,347,347,-662,5919,5485,434,6581,2096,3820,665
ladu:North Norfolk,E07000147,18824,16788,17240,3014,2147,9024,3056,452,452,2036,7568,7117,451,5532,1965,2913,654
ladu:Norwich,E07000148,15412,17458,17690,1554,1809,12405,1922,232,232,-2046,5277,4874,403,7323,2424,4246,653
ladu:South Norfolk,E07000149,19216,21129,21500,2475,2014,13249,3762,371,371,-1913,6052,5604,448,7965,2956,4349,660
ladu:Babergh,E07000200,20666,23292,23705,2755,2303,14770,3876,412,412,-2627,6431,5985,446,9058,3675,4739,643
ladu:Ipswich,E07000202,15861,18127,18376,1663,1775,13566,1372,249,249,-2266,5303,4873,429,7569,2562,4337,670
ladu:Mid Suffolk,E07000203,19422,22328,22720,2619,2086,14203,3812,392,392,-2906,5714,5269,445,8619,3327,4639,653
ladu:East Suffolk,E07000244,19638,19910,20285,2506,1771,12131,3876,375,375,-271,6953,6507,446,7224,2725,3861,638
ladu:West Suffolk,E07000245,18074,21132,21467,2237,2121,13732,3377,335,335,-3058,4958,4524,434,8016,2932,4431,653
ladu:Camden,E09000007,41311,53859,54475,5694,7279,28705,12797,617,617,-12547,4398,4074,325,16946,9892,6515,538
ladu:City of London,E09000001,218109,301901,303738,16967,49498,168782,68491,1837,1837,-83792,10188,9856,332,93980,68338,25122,520
ladu:Hackney,E09000012,23645,29715,30076,3335,4140,18373,4229,361,361,-6070,4333,4059,275,10404,4283,5650,471
ladu:Hammersmith and Fulham,E09000013,40817,56069,56835,7081,5254,35180,9320,767,767,-15251,4295,3914,381,19546,11757,7186,603
ladu:Haringey,E09000014,27846,33178,33650,4362,5111,18987,5189,472,472,-5332,4666,4375,292,9998,4626,4881,492
ladu:Islington,E09000019,30519,41701,42174,4369,4770,27169,5866,473,473,-11182,4236,3933,303,15418,7941,6953,524
ladu:Kensington and Chelsea,E09000020,79736,110281,112016,16026,10430,57647,27913,1735,1735,-30545,5303,4916,387,35848,24697,10561,590
ladu:Lambeth,E09000022,27379,36942,37373,3973,4253,24778,4370,430,430,-9563,3899,3601,298,13462,6218,6733,511
ladu:Lewisham,E09000023,22012,27317,27689,3434,3513,17746,2995,372,372,-5305,4284,3991,293,9589,3954,5145,489
ladu:Newham,E09000025,18435,21498,21773,2533,4356,13121,1761,274,274,-3064,3581,3311,270,6644,2233,3950,462
ladu:Southwark,E09000028,25844,35055,35436,3519,3743,23346,4828,381,381,-9211,3793,3494,299,13005,5972,6525,508
ladu:Tower Hamlets,E09000030,25413,34691,35043,3250,3716,24033,4044,352,352,-9278,3663,3389,274,12941,6752,5714,474
ladu:Wandsworth,E09000032,37506,52843,53535,6392,4961,34470,7712,692,692,-15337,4110,3770,340,19446,11126,7770,550
ladu:Westminster,E09000033,53883,73399,74604,11126,8712,41481,13284,1205,1205,-19516,5177,4825,352,24693,16608,7517,568
ladu:Barking and Dagenham,E09000002,16412,18472,18689,2003,3578,12045,1063,217,217,-2059,4282,3959,323,6342,2035,3788,519
ladu:Barnet,E09000003,28310,34364,34889,4850,4504,19228,6308,525,525,-6054,4939,4591,348,10993,5473,4977,544
ladu:Bexley,E09000004,20848,24954,25297,3168,2411,16834,2884,343,343,-4107,5039,4702,337,9146,3836,4792,518
ladu:Brent,E09000005,24069,28208,28617,3775,4699,16745,3398,409,409,-4139,4541,4231,310,8680,3513,4661,506
ladu:Bromley,E09000006,26318,32754,33224,4340,2899,21465,4520,470,470,-6436,5876,5498,378,12312,6055,5679,578
ladu:Croydon,E09000008,21637,25916,26284,3391,2971,16828,3093,367,367,-4279,5047,4710,336,9326,3740,5057,528
ladu:Ealing,E09000009,26073,32924,33373,4148,4197,21154,3875,449,449,-6851,4767,4432,335,11619,5460,5630,529
ladu:Enfield,E09000010,21562,23931,24316,3550,3304,14068,3394,384,384,-2369,5450,5117,332,7819,3091,4207,521
ladu:Greenwich,E09000011,21992,28795,29123,3035,3169,19893,3026,329,329,-6803,4343,4012,330,11145,5066,5542,538
ladu:Harrow,E09000015,26460,31497,31977,4435,4579,17655,5308,480,480,-5036,4889,4533,356,9925,4259,5119,547
ladu:Havering,E09000016,21817,26528,26881,3261,2852,17019,3748,353,353,-4711,5195,4843,352,9906,3844,5530,532
ladu:Hillingdon,E09000017,20808,25127,25495,3400,2690,16716,2690,368,368,-4319,4752,4400,352,9070,3640,4880,551
ladu:Hounslow,E09000018,23678,29999,30320,2973,3613,20016,3719,322,322,-6320,4181,3819,361,10501,5168,4769,564
ladu:Kingston upon Thames,E09000021,25453,33820,34309,4514,3224,21856,4715,489,489,-8367,4481,4121,360,12848,6411,5876,561
ladu:Merton,E09000024,29588,39858,40345,4499,4241,25757,5848,487,487,-10270,4706,4350,356,14976,7525,6890,562
ladu:Redbridge,E09000026,21941,26530,26917,3578,3747,15803,3789,387,387,-4589,4289,3968,321,8878,3579,4793,506
ladu:Richmond upon Thames,E09000027,38229,54546,55270,6678,4262,35206,9123,723,723,-16317,5451,5087,365,21769,13087,8131,550
ladu:Sutton,E09000029,22525,27344,27718,3450,2975,17619,3673,374,374,-4819,4790,4434,356,9609,4207,4857,545
ladu:Waltham Forest,E09000031,21761,26380,26763,3531,4480,16403,2350,382,382,-4619,4222,3901,322,8841,3263,5060,519
ladu:Bracknell Forest,E06000036,21523,28003,28399,3233,2227,20229,2709,396,396,-6480,4637,4218,419,11117,5006,5489,622
ladu:Brighton and Hove,E06000043,21820,25979,26448,3840,3523,15185,3901,470,470,-4159,4629,4285,343,8788,3253,4971,564
ladu:Isle of Wight,E06000046,17299,16695,17015,2616,1945,9829,2626,320,320,604,6675,6273,402,6071,2135,3314,623
ladu:Medway,E06000035,18304,21201,21518,2591,2310,14244,2373,317,317,-2897,5037,4654,383,7934,2829,4523,581
ladu:Milton Keynes,E06000042,20531,25251,25573,2628,1923,17743,3279,322,322,-4721,4869,4480,389,9590,3829,5183,578
ladu:Portsmouth,E06000044,15936,17891,18138,2019,2160,11878,2080,247,247,-1955,4698,4361,337,6652,2157,3951,545
ladu:Reading,E06000038,21401,26597,26979,3123,2357,18925,2575,382,382,-5197,4799,4382,417,9996,4259,5105,632
ladu:Slough,E06000039,17845,21283,21614,2705,2341,14913,1654,331,331,-3438,4067,3673,393,7504,2919,3986,599
ladu:Southampton,E06000045,16312,19322,19564,1973,2146,13140,2305,241,241,-3011,4290,3944,346,7301,2353,4392,556
ladu:West Berkshire,E06000037,24987,30682,31123,3606,2438,20248,4831,441,441,-5695,5746,5323,423,11441,5431,5404,606
ladu:Windsor and Maidenhead,E06000040,30622,40154,40791,5207,2790,26148,6647,637,637,-9533,5811,5389,422,15343,8016,6723,604
ladu:Wokingham,E06000041,26261,34413,34947,4370,2118,23416,5043,535,535,-8152,5451,5034,417,13603,6657,6344,601
ladu:Buckinghamshire,E06000060,26907,33370,33857,3976,2652,21547,5683,487,487,-6463,6295,5852,443,12758,6376,5739,643
ladu:Eastbourne,E07000061,19326,19449,19786,2757,2265,11764,3001,337,337,-123,6814,6409,405,6936,2592,3721,623
ladu:Hastings,E07000062,16116,16795,17098,2472,2453,11030,1142,303,303,-679,5662,5264,399,6342,2234,3464,643
ladu:Lewes,E07000063,22300,24659,25102,3613,2757,14107,4624,442,442,-2359,6637,6231,405,8996,3815,4561,620
ladu:Rother,E07000064,21628,21401,21826,3466,2450,11897,4012,424,424,226,7873,7458,415,7647,3321,3723,603
ladu:Wealden,E07000065,23943,27957,28395,3582,2754,16647,5412,438,438,-4013,6907,6501,406,10921,5001,5301,618
ladu:Basingstoke and Deane,E07000084,23808,29480,29860,3103,2022,20354,4381,380,380,-5672,5737,5307,430,11409,5076,5703,631
ladu:East Hampshire,E07000085,25888,30675,31165,4004,2574,19099,5488,490,490,-4787,6653,6209,443,11440,5345,5436,658
ladu:Eastleigh,E07000086,20455,25230,25612,3120,2001,17154,3337,382,382,-4775,5027,4623,404,9802,3929,5252,621
ladu:Fareham,E07000087,20762,24434,24827,3211,1803,16525,3288,393,393,-3672,5987,5572,415,9659,3886,5152,621
ladu:Gosport,E07000088,16953,18311,18574,2148,1685,13182,1559,263,263,-1359,5986,5580,406,7345,2676,4046,622
ladu:Hart,E07000089,26948,34490,35008,4235,2241,23212,5320,518,518,-7542,6261,5830,432,13803,6697,6489,618
ladu:Havant,E07000090,19439,20674,21008,2725,2098,13289,2896,333,333,-1235,6287,5876,411,7523,2897,4014,613
ladu:New Forest,E07000091,23027,23555,24019,3796,2188,14061,3975,465,465,-527,7657,7203,454,8184,3575,3962,648
ladu:Rushmoor,E07000092,19086,23713,24057,2811,2046,17698,1502,344,344,-4627,4741,4310,430,9368,3693,5027,647
ladu:Test Valley,E07000093,22982,27282,27676,3221,2184,18329,3942,394,394,-4299,6337,5897,440,10637,4688,5286,662
ladu:Winchester,E07000094,25328,31378,31903,4286,2438,20140,5038,525,525,-6050,6418,5976,442,12468,5983,5818,668
ladu:Ashford,E07000105,20634,23168,23510,2795,2236,15262,3216,342,342,-2534,6107,5696,411,8641,3596,4435,609
ladu:Canterbury,E07000106,17589,19553,19923,3018,1916,11991,2998,369,369,-1964,5441,5059,382,7405,2646,4145,615
ladu:Dartford,E07000107,20402,25657,26052,3227,2446,17336,3043,395,395,-5255,4437,4049,388,9691,3759,5335,597
ladu:Dover,E07000108,18409,18687,19020,2717,1903,11693,2707,333,333,-278,6730,6354,375,7008,2439,3984,585
ladu:Gravesham,E07000109,19145,21869,22209,2778,2394,14453,2584,340,340,-2724,5247,4856,391,7971,3051,4333,588
ladu:Maidstone,E07000110,21018,24921,25305,3131,2405,16268,3500,383,383,-3904,5330,4915,415,9234,3842,4773,619
ladu:Sevenoaks,E07000111,29959,38089,38588,4072,2712,24308,7496,498,498,-8130,6827,6393,434,14957,8139,6190,627
ladu:Folkestone and Hythe,E07000112,19692,20279,20644,2981,2005,12216,3441,365,365,-587,6819,6442,377,7406,2694,4130,582
ladu:Swale,E07000113,18564,20133,20438,2492,2166,13287,2493,305,305,-1569,5695,5300,395,7265,2750,3929,586
ladu:Thanet,E07000114,17458,17036,17362,2661,2214,10371,2116,326,326,422,6477,6108,370,6055,2064,3420,571
ladu:Tonbridge and Malling,E07000115,22676,28237,28662,3477,2264,19064,3857,426,426,-5561,5568,5136,433,11129,5367,5125,637
